timestamp_ms,iso_time,latitude,longitude,altitude_m,heading_deg,phase
1780698142592,2026-06-05T15:22:22.592,NaN,NaN,1.00,156.0,lane 1/22
1780698142842,2026-06-05T15:22:22.842,NaN,NaN,1.10,156.0,lane 1/22
1780698143142,2026-06-05T15:22:23.142,NaN,NaN,1.10,155.9,lane 1/22
1780698143392,2026-06-05T15:22:23.392,NaN,NaN,1.10,155.8,lane 1/22
1780698143642,2026-06-05T15:22:23.642,NaN,NaN,1.30,156.0,lane 1/22
1780698143941,2026-06-05T15:22:23.941,NaN,NaN,1.70,156.1,lane 1/22
1780698144191,2026-06-05T15:22:24.191,NaN,NaN,2.30,155.9,lane 1/22
1780698144442,2026-06-05T15:22:24.442,NaN,NaN,2.70,156.0,lane 1/22
1780698144742,2026-06-05T15:22:24.742,NaN,NaN,3.30,156.0,lane 1/22
1780698144992,2026-06-05T15:22:24.992,NaN,NaN,4.00,155.9,lane 1/22
1780698145242,2026-06-05T15:22:25.242,NaN,NaN,4.40,155.8,lane 1/22
1780698145541,2026-06-05T15:22:25.541,NaN,NaN,5.00,155.9,lane 1/22
1780698145791,2026-06-05T15:22:25.791,NaN,NaN,5.60,155.9,lane 1/22
1780698146041,2026-06-05T15:22:26.041,NaN,NaN,6.00,155.9,lane 1/22
1780698146292,2026-06-05T15:22:26.292,NaN,NaN,6.60,155.9,lane 1/22
1780698146542,2026-06-05T15:22:26.542,NaN,NaN,7.00,155.9,lane 1/22
1780698146841,2026-06-05T15:22:26.841,34.04846495,-117.83759965,7.60,154.3,lane 1/22
1780698147091,2026-06-05T15:22:27.091,34.04846885,-117.83760183,8.20,140.9,lane 1/22
1780698147341,2026-06-05T15:22:27.341,34.04846991,-117.83760049,8.60,132.2,lane 1/22
1780698147591,2026-06-05T15:22:27.591,34.04847023,-117.83759659,9.20,126.1,lane 1/22
1780698147842,2026-06-05T15:22:27.842,34.04846929,-117.83759187,9.60,126.0,lane 1/22
1780698148142,2026-06-05T15:22:28.142,34.04846283,-117.83758292,10.20,125.7,lane 1/22
1780698148391,2026-06-05T15:22:28.391,34.04845674,-117.83757286,10.70,125.5,lane 1/22
1780698148642,2026-06-05T15:22:28.642,34.04845089,-117.83756537,11.10,125.4,lane 1/22
